kernel_name,round,strategy,wg_size,size,time_ms,gflops,bandwidth_gbps
add_vectors,1,FP16 + Vectorized loads,128,64,0.016,0.01,0.02
add_vectors,1,FP16 + Vectorized loads,128,512,0.017,0.06,0.12
add_vectors,1,FP16 + Vectorized loads,128,1024,0.018,0.12,0.23
add_vectors,1,FP16 + Vectorized loads,128,4096,0.017,0.48,0.96
add_vectors,1,FP16 + Vectorized loads,128,16384,0.013,2.54,5.07
add_vectors,1,FP16 + Vectorized loads,128,65536,0.017,7.52,15.05
add_vectors,2,SLM tile caching / XMX,256,64,0.014,0.01,0.02
add_vectors,2,SLM tile caching / XMX,256,512,0.012,0.09,0.17
add_vectors,2,SLM tile caching / XMX,256,1024,0.011,0.18,0.36
add_vectors,2,SLM tile caching / XMX,256,4096,0.011,0.72,1.45
add_vectors,2,SLM tile caching / XMX,256,16384,0.012,2.76,5.53
add_vectors,2,SLM tile caching / XMX,256,65536,0.012,10.67,21.35
add_vectors,3,Large GRF mode,512,64,0.013,0.01,0.02
add_vectors,3,Large GRF mode,512,512,0.011,0.09,0.18
add_vectors,3,Large GRF mode,512,1024,0.011,0.18,0.36
add_vectors,3,Large GRF mode,512,4096,0.011,0.73,1.45
add_vectors,3,Large GRF mode,512,16384,0.012,2.81,5.62
add_vectors,3,Large GRF mode,512,65536,0.012,10.63,21.26
add_vectors,4,Mixed precision,256,64,0.015,0.01,0.02
add_vectors,4,Mixed precision,256,512,0.017,0.06,0.12
add_vectors,4,Mixed precision,256,1024,0.017,0.12,0.24
add_vectors,4,Mixed precision,256,4096,0.018,0.46,0.92
add_vectors,4,Mixed precision,256,16384,0.013,2.51,5.02
add_vectors,4,Mixed precision,256,65536,0.017,7.68,15.36
add_vectors,5,Best config,256,64,0.014,0.01,0.02
add_vectors,5,Best config,256,512,0.012,0.09,0.18
add_vectors,5,Best config,256,1024,0.012,0.18,0.36
add_vectors,5,Best config,256,4096,0.012,0.71,1.42
add_vectors,5,Best config,256,16384,0.012,2.80,5.60
add_vectors,5,Best config,256,65536,0.012,10.71,21.42
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,64,0.013,0.01,0.02
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,512,0.011,0.09,0.18
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,1024,0.011,0.18,0.36
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,4096,0.012,0.71,1.41
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,16384,0.011,2.92,5.85
add_vectors_hnc_nhc,1,FP16 + Vectorized loads,128,65536,0.012,10.56,21.13
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,64,0.014,0.01,0.02
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,512,0.012,0.09,0.18
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,1024,0.011,0.18,0.36
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,4096,0.012,0.71,1.42
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,16384,0.011,2.86,5.71
add_vectors_hnc_nhc,2,SLM tile caching / XMX,256,65536,0.012,10.53,21.06
